Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q3,Millennial,1710777,3682875,1408335,587280,251103,185950,228127,242733,779346,1972098,1040047,894095,37956
2015:Q4,Silent,21089723,22174628,5140060,884986,5690050,2851105,537881,2204026,4866520,1084905,738063,198754,148088
2015:Q4,BabyBoom,47862283,52896113,10593109,2207608,10500496,10418163,5400599,5503710,8272427,5033830,3738986,989232,305612
2015:Q4,GenX,12933608,18202151,5886579,1292698,2770148,1815356,2012521,1888375,2536473,5268543,3839151,1320124,109268
2015:Q4,Millennial,1822346,3880131,1491374,605333,277348,197473,251767,241562,815274,2057785,1119606,892120,46059
2016:Q1,Silent,21058144,22136177,5155609,874798,5723044,2833423,532511,2161118,4855673,1078033,731725,195199,151109
2016:Q1,BabyBoom,48662230,53637467,10678683,2221249,10743550,10463756,5448937,5511818,8569473,4975237,3706801,970632,297804
2016:Q1,GenX,13157564,18441241,5976680,1302720,2803897,1867945,2054208,1840994,2594797,5283677,3844089,1325755,113833
2016:Q1,Millennial,1969268,4091401,1581620,638476,286275,210537,269096,227458,877939,2122133,1149466,920650,52017
2016:Q2,Silent,21153439,22233366,5229272,858785,5819769,2810728,525981,2203549,4785282,1079926,728296,196552,155078
2016:Q2,BabyBoom,49648502,54611699,10855373,2233211,11103179,10494006,5521441,5677313,8727176,4963197,3697978,974259,290960
2016:Q2,GenX,13481870,18818906,6124819,1317553,2888526,1953342,2109637,1853143,2571886,5337036,3870669,1348810,117557
2016:Q2,Millennial,2165008,4361231,1711770,682175,307325,219660,288910,249944,901446,2196222,1180915,957171,58136
2016:Q3,Silent,21181470,22260408,5236225,862575,5921616,2787077,523236,2235834,4693845,1078938,724324,196497,158117
2016:Q3,BabyBoom,50706711,55635429,11077437,2248736,11485058,10533109,5633890,5830156,8827042,4928717,3671063,975859,281795
2016:Q3,GenX,13920098,19328768,6320449,1312389,2983014,2039497,2202245,1861823,2609351,5408670,3907181,1380888,120601
2016:Q3,Millennial,2274372,4588526,1791396,687490,331222,228506,316044,270090,963777,2314154,1240780,1008345,65029
2016:Q4,Silent,20788865,21843483,5183353,855226,5805582,2725414,526964,2150296,4596649,1054618,708850,200238,145530
2016:Q4,BabyBoom,50889712,55801332,11238738,2246716,11619548,10565038,5576931,5774637,8779724,4911620,3634609,989377,287634
2016:Q4,GenX,14670360,20122819,6490921,1336652,3173448,2133946,2267819,2001997,2718036,5452458,3938512,1394749,119197
