UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,9,4018847,2054376,1964471,1383682,1318272,313539,304709,51353,49172,126462,120231,7362,6982,171978,165105,1544279,1472232,393097,382268,103948,99715,185994,176630,17823,16905,1526016,1455261,988291,937589,275510,267617,16917,16191,117740,111864,5232,4907,122326,117093,1103073,1047340,332284,323123,48391,46294,162916,154415,12090,11372,528360,509210,395391,380683,38029,37092,34436,32981,8722,8367,2130,2075,49652,48012,441206,424892,60813,59145,55557,53421,23078,22215,5733,5533
R,1,2023,10,4066500,2077695,1988805,1399352,1334347,316335,307457,51521,49463,132796,125850,7529,7143,170162,164545,1557963,1487594,394476,383641,104390,100843,191714,182142,17878,17081,1543961,1474036,998267,947473,277819,270354,17153,16467,124115,117473,5325,5041,121282,117228,1111934,1057153,333680,325030,48855,47225,168975,160277,12155,11627,533734,514769,401085,386874,38516,37103,34368,32996,8681,8377,2204,2102,48880,47317,446029,430441,60796,58611,55535,53618,22739,21865,5723,5454
R,1,2023,11,4081145,2088212,1992933,1413977,1344179,318674,308535,52453,50624,127768,120896,7367,7052,167973,161647,1570557,1494717,395379,382802,105787,101931,185138,175884,17656,16902,1547332,1473361,1006174,953008,279910,271327,17115,16365,118880,112594,5180,4901,120073,115166,1118659,1060708,335134,324709,49369,47236,162534,154396,12007,11416,540880,519572,407803,391171,38764,37208,35338,34259,8888,8302,2187,2151,47900,46481,451898,434009,60245,58093,56418,54695,22604,21488,5649,5486
R,1,2023,12,4188383,2142545,2045838,1455181,1384787,328552,317348,53355,51222,127202,121157,7433,7115,170822,164209,1614446,1537751,405908,392648,108813,104651,184874,176003,17755,16994,1580387,1506476,1026853,973908,290308,279987,17202,16928,118446,113047,5261,5037,122317,117569,1141414,1083830,346055,334394,50792,49393,162547,154943,12206,11587,562158,539362,428328,410879,38244,37361,36153,34294,8756,8110,2172,2078,48505,46640,473032,453921,59853,58254,58021,55258,22327,21060,5549,5407
R,1,2023,13,4226735,2161956,2064779,1474179,1401918,330986,319878,53209,50866,126102,121010,7336,7009,170144,164098,1632662,1554722,408378,395879,108035,103640,183476,175357,17683,17032,1591630,1518142,1033943,980155,293367,283272,17658,17106,117796,113033,5108,4821,123758,119755,1149785,1092139,350239,339292,51626,50134,162228,155092,12132,11670,570326,546637,440236,421763,37619,36606,35551,33760,8306,7977,2228,2188,46386,44343,482877,462583,58139,56587,56409,53506,21248,20265,5551,5362
R,1,2023,14,4382480,2241992,2140488,1534024,1456525,344078,332029,54736,52548,129217,124096,7417,7115,172520,168175,1694533,1612957,422201,409304,111500,108288,186363,178788,18251,17288,1648209,1571599,1073152,1015484,304811,294903,18341,17678,120705,115924,5097,4842,126103,122768,1190840,1130217,362731,352228,53853,52531,165215,158277,12420,11754,593783,568889,460872,441041,39267,37126,36395,34870,8512,8172,2320,2273,46417,45407,503693,482740,59470,57076,57647,55757,21148,20511,5831,5534
R,1,2023,15,4417208,2259044,2158164,1551448,1475572,342261,330340,56105,54391,131510,125391,7398,7082,170322,165388,1709734,1629152,418752,405439,113949,110367,187479,179480,17899,17229,1659869,1582101,1084984,1027990,303735,293349,18516,17879,122851,117345,5046,4879,124737,120659,1201400,1140539,360261,348828,54917,52987,166585,159177,12316,11763,599175,576063,466464,447582,38526,36991,37589,36512,8659,8046,2352,2203,45585,44729,508334,488613,58491,56611,59032,57380,20894,20303,5583,5466
R,1,2023,16,4394912,2250545,2144367,1553753,1473172,338842,325728,56813,53835,128099,123122,7234,6992,165804,161518,1707703,1623166,412001,398010,114188,109465,182636,175392,17548,16921,1653060,1573547,1087837,1028453,301073,289242,18324,17587,119651,115156,4939,4731,121236,118378,1200889,1138899,355111,343176,54325,52720,162267,155791,11997,11489,597485,570820,465916,444719,37769,36486,38489,36248,8448,7966,2295,2261,44568,43140,506814,484267,56890,54834,59863,56745,20369,19601,5551,5432
R,1,2023,17,4354823,2231661,2123162,1550598,1463499,329454,317891,56218,54219,128532,126152,7279,7050,159580,154351,1698769,1606671,398493,385832,112770,108453,180845,176656,17044,16472,1641663,1562768,1089002,1025569,292689,282802,18089,17592,120472,118555,4967,4814,116444,113436,1197584,1131191,343558,333382,53782,51953,161444,158122,11644,11380,589998,560394,461596,437930,36765,35089,38129,36627,8060,7597,2312,2236,43136,40915,501185,475480,54935,52450,58988,56500,19401,18534,5400,5092
R,1,2023,18,4380702,2246049,2134653,1562433,1474680,329845,316077,56528,53077,134615,132529,7354,6927,155274,151363,1706397,1615003,396260,381994,112324,107502,185744,181462,17027,16178,1658976,1578669,1101233,1038403,293651,281855,18286,17094,126503,125017,5118,4829,114185,111471,1207518,1142058,342655,330926,54093,51955,166693,163651,11809,11258,587073,555984,461200,436277,36194,34222,38242,35983,8112,7512,2236,2098,41089,39892,498879,472945,53605,51068,58231,55547,19051,17811,5218,4920
